City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alofi,-19.0595,-169.9187,298.09,94,68,0.51,NU,1737737318
1,almus,40.3758,36.9044,277.07,74,38,3.39,TR,1737737320
2,lebu,-37.6167,-73.65,290.6,68,29,7.44,CL,1737737321
3,sola,-13.8833,167.55,301.05,71,100,1.91,VU,1737737322
4,puerto natales,-51.7236,-72.4875,290.4,48,75,11.32,CL,1737737324
5,adamstown,-25.066,-130.1015,298.13,76,17,3.73,PN,1737737326
6,saint-philippe,-21.3585,55.7679,299.78,78,85,4.73,RE,1737737327
7,puerto quijarro,-17.7833,-57.7667,311.58,29,38,2.6,BO,1737737328
8,tengrela,10.4869,-6.4097,309.03,10,64,3.13,CI,1737737329
9,remire-montjoly,4.9167,-52.2667,299.17,94,75,4.63,GF,1737737330
10,dhidhdhoo,6.8833,73.1,300.52,79,88,7.89,MV,1737737331
11,afaahiti,-17.75,-149.2833,299.29,80,69,6.15,PF,1737737332
12,kerikeri,-35.2268,173.9474,286.43,92,50,0.31,NZ,1737737334
13,waitangi,-43.9535,-176.5597,285.83,92,97,5.43,NZ,1737737335
14,piti village,13.4626,144.6933,300.18,82,20,4.12,GU,1737737336
15,jamestown,42.097,-79.2353,266.49,70,100,4.12,US,1737737337
16,zaozersk,69.4005,32.4476,258.1,97,58,4.32,RU,1737737338
17,tynda,55.1667,124.7167,247.86,100,100,0.25,RU,1737737339
18,hamilton,39.1834,-84.5333,267.92,63,0,4.12,US,1737737340
19,puerto ayora,-0.7393,-90.3518,298.46,94,55,3.13,EC,1737737342
20,grytviken,-54.2811,-36.5092,280.84,58,100,7.19,GS,1737737343
21,wailua homesteads,22.0669,-159.378,285.59,94,0,2.57,US,1737737345
22,coquimbo,-29.9533,-71.3436,293.0,72,20,7.72,CL,1737737346
23,albany,42.6001,-73.9662,270.88,62,30,2.24,US,1737737347
24,djambala,-2.5447,14.7533,295.61,82,68,2.42,CG,1737737351
25,lorengau,-2.0226,147.2712,300.6,72,94,3.31,PG,1737737352
26,invercargill,-46.4,168.35,284.05,78,100,2.24,NZ,1737737353
27,hilo,19.7297,-155.09,293.21,82,0,3.09,US,1737737107
28,bethel,41.3712,-73.414,272.54,52,0,2.06,US,1737737355
29,iskateley,67.6803,53.1512,246.51,100,100,2.3,RU,1737737357
30,whitehorse,60.7161,-135.0538,268.58,74,75,3.09,CA,1737737208
31,yellowknife,62.456,-114.3525,262.44,85,75,2.57,CA,1737737359
32,blackmans bay,-43.0167,147.3167,286.22,83,69,0.45,AU,1737737360
33,ushuaia,-54.8,-68.3,282.96,76,100,12.35,AR,1737737352
34,ca mau,9.1769,105.15,296.78,89,100,1.6,VN,1737737362
35,ribeira grande,38.5167,-28.7,288.37,63,40,9.26,PT,1737737363
36,port-aux-francais,-49.35,70.2167,279.37,87,67,11.2,TF,1737737365
37,nova sintra,14.8667,-24.7167,295.67,66,100,8.67,CV,1737737366
38,port douglas,-16.4833,145.4667,299.25,87,100,1.23,AU,1737737367
39,iqaluit,63.7506,-68.5145,252.0,77,75,3.6,CA,1737737368
40,loreto,22.2667,-101.9667,285.09,53,68,5.3,MX,1737737369
41,vilyuchinsk,52.9306,158.4028,260.3,84,90,4.47,RU,1737737370
42,holualoa,19.6228,-155.9522,292.06,79,0,4.12,US,1737737372
43,agas,46.4833,26.2167,276.14,100,100,1.35,RO,1737737373
44,ulladulla,-35.35,150.4667,288.32,87,25,1.59,AU,1737737374
45,lupane,-18.9315,27.807,296.72,63,97,2.27,ZW,1737737375
46,new norfolk,-42.7826,147.0587,283.66,95,64,1.41,AU,1737737376
47,prado,-17.3411,-39.2208,301.58,68,3,4.41,BR,1737737377
48,lihue,21.9789,-159.3672,285.92,94,0,2.57,US,1737737378
49,san sebastian de la gomera,28.0916,-17.1133,294.35,68,40,1.54,ES,1737737380
50,borba,-4.3878,-59.5939,301.02,83,96,0.74,BR,1737737381
51,alesund,62.4723,6.1549,278.23,56,75,6.69,NO,1737737382
52,chui,-33.6971,-53.4616,304.01,53,84,3.58,UY,1737737383
53,cidreira,-30.1811,-50.2056,298.79,72,100,2.98,BR,1737737384
54,hermanus,-34.4187,19.2345,295.26,85,23,3.97,ZA,1737737385
55,petropavlovsk-kamchatsky,53.0452,158.6483,259.48,61,0,2.0,RU,1737737387
56,tiksi,71.6872,128.8694,244.41,97,99,0.91,RU,1737737388
57,edinburgh of the seven seas,-37.0676,-12.3116,290.25,82,45,6.33,SH,1737737389
58,geraldton,-28.7667,114.6,296.38,94,100,4.63,AU,1737737390
59,talnakh,69.4865,88.3972,238.78,96,85,4.09,RU,1737737391
60,flying fish cove,-10.4217,105.6791,295.97,94,58,1.54,CX,1737737392
61,nogliki,51.8333,143.1667,253.42,97,6,2.95,RU,1737737394
62,ola,59.5833,151.2833,248.88,88,79,2.29,RU,1737737395
63,bilibino,68.0546,166.4372,236.97,99,100,1.87,RU,1737737396
64,port augusta,-32.5,137.7667,292.51,61,28,3.76,AU,1737737397
65,beira,-19.8436,34.8389,300.2,78,75,1.03,MZ,1737737398
66,elverum,60.8819,11.5623,274.27,98,100,4.08,NO,1737737399
67,newport,51.5877,-2.9984,282.21,74,96,4.21,GB,1737737400
68,starke,29.9441,-82.1098,282.55,24,0,6.69,US,1737737402
69,san-pedro,4.7485,-6.6363,302.14,65,73,3.96,CI,1737737403
70,gamba,-2.65,10.0,297.87,79,98,2.66,GA,1737737404
71,port elizabeth,-33.918,25.5701,298.32,78,0,4.12,ZA,1737737405
72,hawaiian paradise park,19.5933,-154.9731,293.09,77,0,3.09,US,1737737406
73,ramnagar,29.4,79.1167,286.62,46,0,1.97,IN,1737737407
74,sandnessjoen,66.0217,12.6316,273.38,55,40,3.09,NO,1737737410
75,st. john's,47.5649,-52.7093,273.23,71,75,10.8,CA,1737737411
76,enewetak,11.3474,162.3373,299.86,66,39,9.14,MH,1737737412
77,georgetown,5.4112,100.3354,298.12,93,40,2.06,MY,1737737413
78,coari,-4.085,-63.1414,301.57,77,59,0.81,BR,1737737414
79,carutapera,-1.195,-46.02,299.14,91,95,2.71,BR,1737737415
80,suntar,62.1444,117.6319,255.58,84,99,5.12,RU,1737737417
81,port mathurin,-19.6833,63.4167,299.63,74,8,6.7,MU,1737737418
